row_id,detected
id_100,class_3
id_10002,class_7
id_10005,class_7
id_10008,class_5
id_10009,class_3
id_10013,class_3
id_10015,class_3
id_10017,class_7
id_10018,class_3
id_10020,class_3
id_10023,class_5
id_10024,class_7
id_10027,class_5
id_10028,class_7
id_10029,class_7
id_10030,class_3
id_10031,class_3
id_10033,class_3
id_10035,class_7
id_10037,class_3
id_10048,class_5
id_10050,class_3
id_10052,class_3
id_10054,class_3
id_10056,class_3
id_10057,class_3
id_10060,class_7
id_10061,class_3
id_10063,class_7
id_10068,class_6
id_10069,class_7
id_10073,class_3
id_10077,class_7
id_10084,class_3
id_10087,class_7
id_10089,class_3
id_1009,class_7
id_10092,class_3
id_10094,class_3
id_10095,class_3
id_101,class_3
id_10103,class_3
id_10105,class_3
id_1011,class_3
id_10110,class_7
id_10111,class_6
id_10112,class_7
id_10113,class_7
id_10115,class_3
id_10116,class_7
id_10117,class_3
id_10118,class_3
id_10119,class_7
id_10120,class_3
id_10124,class_7
id_10125,class_7
id_10126,class_7
id_10128,class_3
id_10131,class_3
id_10136,class_7
id_10137,class_5
id_10139,class_3
id_1014,class_3
id_10140,class_3
id_10141,class_3
id_10156,class_3
id_10159,class_3
id_1016,class_3
id_10163,class_3
id_10166,class_3
id_10168,class_3
id_10171,class_2
id_10172,class_3
id_10173,class_7
id_10174,class_6
id_10175,class_3
id_10180,class_7
id_10183,class_3
id_10184,class_3
id_10186,class_3
id_10188,class_3
id_10190,class_3
id_10191,class_7
id_10195,class_3
id_10196,class_7
id_10197,class_3
id_102,class_5
id_1020,class_3
id_10200,class_3
id_10201,class_3
id_10202,class_7
id_10203,class_3
id_10204,class_7
id_10208,class_3
id_10210,class_7
id_10217,class_3
id_10219,class_3
id_10223,class_3
id_10226,class_3
id_10227,class_7
id_10233,class_3
id_10234,class_3
id_10238,class_3
id_10240,class_6
id_10243,class_3
id_10244,class_3
id_10246,class_3
id_10248,class_7
id_10249,class_5
id_1025,class_3
id_10250,class_3
id_10259,class_7
id_10260,class_3
id_10264,class_6
id_10267,class_7
id_10269,class_7
id_1027,class_3
id_10279,class_3
id_1028,class_5
id_10280,class_3
id_10282,class_7
id_10287,class_7
id_10289,class_3
id_1029,class_3
id_10292,class_3
id_10296,class_7
id_10298,class_5
id_1030,class_3
id_10303,class_7
id_10304,class_6
id_10307,class_3
id_10308,class_3
id_10309,class_3
id_1031,class_3
id_10313,class_3
id_10315,class_3
id_10317,class_3
id_10318,class_3
id_10319,class_3
id_1032,class_7
id_10322,class_7
id_10323,class_3
id_10324,class_3
id_10326,class_3
id_10329,class_3
id_10330,class_6
id_10334,class_3
id_10335,class_3
id_10336,class_3
id_10339,class_7
id_10340,class_3
id_10341,class_3
id_10343,class_3
id_10349,class_7
id_1035,class_7
id_10352,class_7
id_10356,class_6
id_10357,class_3
id_10358,class_3
id_10359,class_3
id_10361,class_3
id_10363,class_3
id_10368,class_7
id_10369,class_3
id_10378,class_3
id_10379,class_7
id_1038,class_4
id_10380,class_7
id_10382,class_7
id_10383,class_3
id_10384,class_3
id_10388,class_3
id_10389,class_7
id_1039,class_5
id_10390,class_3
id_10392,class_3
id_10397,class_3
id_104,class_7
id_1040,class_3
id_10402,class_3
id_10405,class_3
id_10407,class_3
id_10408,class_5
id_10409,class_3
id_10413,class_3
id_10415,class_3
id_10417,class_6
id_10424,class_3
id_10425,class_5
id_10427,class_3
id_10428,class_3
id_10430,class_3
id_10431,class_3
id_10434,class_3
id_10436,class_3
id_10438,class_7
id_10439,class_12
id_1044,class_3
id_10445,class_7
id_10447,class_3
id_10449,class_7
id_10450,class_7
id_10453,class_3
id_10454,class_7
id_10455,class_3
id_10456,class_3
id_10460,class_3
id_10463,class_5
id_10464,class_7
id_10467,class_3
id_10470,class_3
id_10475,class_7
id_10477,class_3
id_10483,class_7
id_10485,class_3
id_10486,class_12
id_1049,class_3
id_10490,class_7
id_10492,class_4
id_10493,class_3
id_10500,class_7
id_10502,class_7
id_10503,class_3
id_10504,class_5
id_10508,class_3
id_10509,class_3
id_10510,class_3
id_10512,class_3
id_10513,class_3
id_10514,class_3
id_10518,class_3
id_1052,class_3
id_10521,class_2
id_10522,class_3
id_10523,class_3
id_10524,class_3
id_10526,class_3
id_10527,class_3
id_10529,class_3
id_1053,class_3
id_10534,class_6
id_10535,class_3
id_10539,class_3
id_10545,class_7
id_10546,class_5
id_10547,class_6
id_10548,class_5
id_10549,class_3
id_1055,class_3
id_10550,class_3
id_10551,class_3
id_10552,class_7
id_10553,class_5
id_10554,class_3
id_10558,class_3
id_10564,class_3
id_10565,class_4
id_10566,class_3
id_10567,class_6
id_10568,class_7
id_10571,class_3
id_10572,class_3
id_10574,class_3
id_10577,class_12
id_10589,class_7
id_1059,class_12
id_10591,class_3
id_10592,class_3
id_10595,class_3
id_10596,class_3
id_10597,class_7
id_10599,class_3
id_106,class_6
id_1060,class_3
id_10600,class_5
id_1061,class_3
id_10611,class_3
id_10615,class_3
id_10617,class_7
id_10618,class_3
id_10620,class_6
id_10622,class_4
id_10623,class_3
id_10624,class_3
id_1063,class_7
id_10631,class_3
id_10634,class_3
id_10635,class_7
id_10636,class_3
id_10637,class_7
id_10638,class_3
id_10639,class_7
id_1064,class_5
id_10640,class_3
id_10641,class_3
id_10642,class_7
id_10643,class_3
id_10646,class_5
id_10648,class_7
id_1065,class_3
id_10650,class_12
id_10651,class_3
id_10653,class_7
id_10655,class_3
id_10660,class_7
id_10663,class_3
id_10667,class_3
id_10670,class_5
id_10671,class_3
id_10673,class_7
id_10676,class_3
id_10679,class_7
id_1068,class_3
id_10681,class_7
id_10683,class_3
id_10684,class_7
id_10688,class_7
id_10691,class_7
id_10693,class_3
id_10695,class_3
id_10696,class_5
id_10697,class_5
id_10698,class_3
id_107,class_3
id_1070,class_3
id_10700,class_7
id_10701,class_5
id_10708,class_3
id_1071,class_3
id_10710,class_7
id_10711,class_3
id_10713,class_3
id_10719,class_3
id_10722,class_3
id_10725,class_3
id_10729,class_5
id_1073,class_3
id_10737,class_3
id_10738,class_3
id_10739,class_3
id_1074,class_3
id_10743,class_3
id_10744,class_3
id_10748,class_3
id_10749,class_3
id_10753,class_3
id_10755,class_3
id_10759,class_5
id_10760,class_3
id_10761,class_3
id_10763,class_7
id_10767,class_7
id_10769,class_3
id_10770,class_5
id_1078,class_5
id_10780,class_3
id_10781,class_3
id_10782,class_6
id_10785,class_6
id_1079,class_7
id_10794,class_7
id_10797,class_3
id_10799,class_5
id_10802,class_3
id_10808,class_3
id_10809,class_3
id_10813,class_3
id_10814,class_3
id_10815,class_7
id_1082,class_4
id_10820,class_7
id_10822,class_3
id_10826,class_3
id_10828,class_3
id_10831,class_7
id_10833,class_5
id_10834,class_3
id_10835,class_4
id_10836,class_3
id_10837,class_7
id_10841,class_3
id_10842,class_3
id_10844,class_3
id_10845,class_3
id_10849,class_3
id_1085,class_3
id_10850,class_3
id_10851,class_3
id_10852,class_4
id_10853,class_3
id_10854,class_5
id_10861,class_3
id_10864,class_3
id_10865,class_5
id_10868,class_3
id_10869,class_3
id_1087,class_6
id_10870,class_3
id_10872,class_3
id_10874,class_3
id_10877,class_7
id_10879,class_6
id_10881,class_3
id_10882,class_3
id_10885,class_3
id_1089,class_3
id_10890,class_5
id_10892,class_3
id_10899,class_3
id_10905,class_3
id_10906,class_3
id_10908,class_7
id_10910,class_7
id_10912,class_3
id_10913,class_6
id_10914,class_7
id_10918,class_3
id_10919,class_3
id_10923,class_7
id_10925,class_3
id_10927,class_5
id_10933,class_6
id_10934,class_3
id_10938,class_3
id_10939,class_3
id_1094,class_3
id_10941,class_3
id_10942,class_3
id_10943,class_3
id_10948,class_3
id_10949,class_7
id_1095,class_7
id_10952,class_3
id_10954,class_3
id_10955,class_3
id_10956,class_3
id_1096,class_3
id_10965,class_3
id_10966,class_3
id_10967,class_7
id_10968,class_7
id_10969,class_3
id_10972,class_3
id_10973,class_7
id_10974,class_3
id_10979,class_3
id_10981,class_3
id_10982,class_3
id_10983,class_3
id_10984,class_5
id_10985,class_3
id_10989,class_7
id_1099,class_3
id_10990,class_5
id_10994,class_6
id_10995,class_7
id_10997,class_3
id_1100,class_3
id_11004,class_3
id_11006,class_5
id_11008,class_3
id_11009,class_3
id_1101,class_7
id_11013,class_3
id_11017,class_6
id_11020,class_7
id_11021,class_3
id_11022,class_3
id_11024,class_3
id_11028,class_3
id_11029,class_3
id_11030,class_7
id_11032,class_3
id_11034,class_3
id_11036,class_5
id_11040,class_3
id_11041,class_3
id_11042,class_3
id_11046,class_3
id_11048,class_3
id_11049,class_3
id_11052,class_3
id_1106,class_5
id_11069,class_3
id_1107,class_3
id_11070,class_7
id_11073,class_7
id_11077,class_5
id_1108,class_3
id_11081,class_6
id_11082,class_3
id_11083,class_3
id_11085,class_3
id_11087,class_3
id_1109,class_3
id_11091,class_3
id_11097,class_5
id_11099,class_7
id_111,class_6
id_11103,class_3
id_11107,class_3
id_11108,class_3
id_1111,class_7
id_11111,class_3
id_11114,class_3
id_11115,class_3
id_11118,class_3
id_11119,class_3
id_1112,class_7
id_11125,class_3
id_11130,class_3
id_11133,class_7
id_11134,class_7
id_11135,class_3
id_11136,class_3
id_11138,class_7
id_1114,class_3
id_11142,class_3
id_11143,class_3
id_11144,class_3
id_11149,class_3
id_1115,class_3
id_11151,class_3
id_11154,class_7
id_11157,class_6
id_11159,class_3
id_1116,class_3
id_11166,class_3
id_11170,class_7
id_11171,class_2
id_11172,class_3
id_11175,class_3
id_11176,class_7
id_11178,class_3
id_1118,class_3
id_11181,class_3
id_11182,class_3
id_11185,class_3
id_11194,class_5
id_11195,class_3
id_11198,class_5
id_112,class_6
id_11203,class_7
id_11204,class_3
id_11209,class_3
id_1121,class_3
id_11215,class_3
id_11219,class_5
id_11220,class_3
id_11221,class_3
id_11223,class_3
id_11224,class_3
id_11225,class_3
id_1123,class_3
id_11232,class_3
id_11233,class_7
id_11234,class_6
id_11237,class_3
id_11239,class_3
id_11240,class_3
id_11242,class_2
id_11244,class_3
id_11245,class_3
id_11246,class_7
id_1125,class_3
id_11251,class_3
id_11258,class_3
id_11259,class_7
id_11260,class_3
id_11261,class_3
id_11263,class_3
id_11264,class_3
id_11266,class_3
id_11268,class_3
id_11269,class_3
id_11270,class_3
id_11271,class_3
id_11274,class_3
id_11277,class_7
id_11279,class_7
id_1128,class_7
id_11282,class_3
id_11284,class_7
id_11285,class_3
id_11287,class_7
id_11288,class_5
id_11292,class_5
id_11295,class_5
id_11296,class_3
id_1130,class_3
id_11300,class_3
id_11302,class_3
id_11304,class_7
id_11305,class_3
id_1131,class_3
id_11315,class_3
id_11316,class_3
id_11318,class_5
id_11319,class_5
id_1132,class_7
id_11325,class_3
id_11329,class_3
id_1133,class_7
id_11332,class_3
id_11333,class_3
id_11337,class_7
id_11338,class_3
id_11340,class_3
id_11346,class_3
id_11348,class_3
id_11349,class_3
id_1135,class_5
id_11353,class_3
id_11354,class_3
id_11356,class_3
id_11358,class_7
id_11360,class_3
id_11361,class_3
id_11365,class_3
id_1137,class_3
id_11370,class_3
id_11373,class_3
id_11376,class_3
id_11377,class_3
id_11378,class_3
id_1138,class_7
id_11382,class_5
id_11383,class_3
id_11385,class_3
id_11388,class_7
id_11392,class_3
id_11393,class_7
id_11395,class_3
id_11396,class_3
id_11398,class_3
id_11399,class_3
id_114,class_5
id_11400,class_3
id_11404,class_3
id_11405,class_5
id_11407,class_3
id_11408,class_3
id_11412,class_3
id_11416,class_3
id_11417,class_7
id_11422,class_3
id_11425,class_3
id_1143,class_3
id_11430,class_6
id_11433,class_7
